id,Dog,Dog score
1,1,1.0
10,0,2.0454685e-09
100,0,0.00014589916
1000,1,1.0
10000,1,0.98606896
10001,0,3.8335915e-10
10002,0,1.12212115e-08
10003,1,0.9971848
10004,1,0.9998522
10005,0,9.342946e-10
10006,0,3.1166966e-12
10007,0,3.868452e-10
10008,0,1.3203894e-09
10009,0,7.728552e-08
1001,0,0.00017416381
10010,1,0.99999976
10011,1,1.0
10012,0,4.9712526e-08
10013,0,3.0265795e-08
10014,0,1.4254447e-09
10015,1,0.99999523
10016,0,0.025217645
10017,0,3.5733585e-08
10018,0,1.7011498e-13
10019,0,7.4664715e-21
1002,1,0.9999994
10020,0,0.0007696711
10021,0,1.1410027e-13
10022,1,0.99999964
10023,1,1.0
10024,1,1.0
10025,1,0.9328594
10026,1,1.0
10027,1,1.0
10028,0,4.9570705e-11
10029,1,0.9965139
1003,1,0.99999976
10030,1,1.0
10031,0,2.9138434e-08
10032,0,9.22307e-12
10033,0,0.005384596
10034,1,1.0
10035,1,0.9999993
10036,1,0.99999976
10037,1,0.98201823
10038,1,0.99999964
10039,1,1.0
1004,1,0.99999166
10040,0,4.3599648e-18
10041,1,1.0
10042,1,0.78818876
10043,1,0.99956006
10044,0,1.928233e-09
10045,0,0.1823515
10046,1,0.9546353
10047,1,0.84506714
10048,1,1.0
10049,0,1.1194772e-07
1005,0,6.8189916e-16
10050,1,0.99480766
10051,0,0.26048535
10052,0,2.848978e-12
10053,1,0.9999645
10054,0,0.0018722481
10055,0,3.8333137e-10
10056,1,0.99999845
10057,0,0.10178001
10058,1,1.0
10059,1,0.99729234
1006,1,1.0
10060,1,0.99994195
10061,1,0.98169804
10062,0,5.7746063e-10
10063,1,0.9998148
10064,1,1.0
10065,0,2.9152527e-05
10066,0,3.38999e-05
10067,0,8.1104125e-12
10068,0,4.6187375e-14
10069,0,4.418623e-08
1007,1,1.0
10070,1,0.99998665
10071,0,2.4456116e-14
10072,0,9.0104195e-11
10073,1,0.71332794
10074,0,2.1754581e-18
10075,0,2.1965733e-17
10076,0,1.694199e-08
10077,0,0.004341026
10078,1,1.0
10079,0,3.6670764e-11
1008,0,0.0015766316
10080,1,1.0
10081,0,0.35917398
10082,0,0.41297114
10083,0,1.7549761e-13
10084,1,0.9999999
10085,1,0.99999726
10086,1,1.0
10087,1,1.0
10088,0,1.946991e-14
10089,0,0.2745795
1009,1,1.0
10090,1,0.73114073
10091,0,6.734762e-14
10092,1,0.999966
10093,0,0.19791391
10094,1,1.0
10095,0,2.6677403e-11
10096,1,1.0
10097,1,1.0
10098,1,1.0
10099,0,1.975743e-07
101,0,8.524745e-11
1010,1,1.0
10100,1,0.9995597
10101,1,0.99999976
10102,0,6.392245e-06
10103,0,2.7219942e-13
10104,1,0.99999917
10105,1,1.0
10106,0,8.863852e-07
10107,0,0.0019518251
10108,1,0.9990854
10109,0,2.80786e-12
1011,0,2.2911118e-14
10110,0,0.34381202
10111,0,5.3824937e-07
10112,0,2.8197653e-11
10113,1,1.0
10114,0,1.6551709e-05
10115,0,2.3023392e-06
10116,1,1.0
10117,0,0.00026173476
10118,0,2.3632582e-14
10119,1,0.9999976
1012,1,0.9999951
10120,0,4.8676047e-18
10121,0,2.5015755e-05
10122,0,8.340541e-06
10123,0,0.3989349
10124,1,1.0
10125,0,2.6136326e-05
10126,0,1.4718981e-05
10127,1,0.99999356
10128,0,4.6341853e-08
10129,1,1.0
1013,0,5.4779605e-12
10130,0,2.0054373e-05
10131,1,0.99985945
10132,0,2.4459712e-10
10133,0,9.0769926e-13
10134,1,1.0
10135,1,1.0
10136,1,0.99947244
10137,0,3.4319065e-08
10138,1,1.0
10139,1,1.0
1014,1,1.0
10140,0,0.27895126
10141,1,1.0
10142,1,0.9166622
10143,0,0.078832865
10144,1,0.99989605
10145,0,6.1817314e-06
10146,1,1.0
10147,1,1.0
10148,1,0.90987945
10149,0,1.388836e-12
1015,0,1.0394563e-12
10150,0,0.06417571
10151,0,4.1277196e-14
10152,0,4.913307e-12
10153,1,0.9999927
10154,0,4.2371053e-06
10155,1,0.9987871
10156,0,0.00044419695
10157,0,0.0019735883
10158,0,3.1389316e-08
10159,1,0.9996101
1016,1,0.7909656
10160,0,6.30786e-08
10161,0,0.0023810067
10162,1,0.999987
10163,1,1.0
10164,1,0.9290994
10165,1,0.9997241
10166,1,0.99998295
10167,1,0.9999832
10168,1,0.92411715
10169,1,0.99997365
1017,0,8.80194e-06
10170,0,1.3741237e-18
10171,0,5.4599734e-17
10172,1,1.0
10173,0,2.9367053e-10
10174,0,1.1541863e-05
10175,0,8.339209e-14
10176,1,1.0
10177,1,0.9999875
10178,0,6.220023e-07
10179,1,0.9607226
1018,1,0.9998462
10180,0,0.029293515
10181,1,0.99999976
10182,0,0.08437237
10183,1,0.8636825
10184,0,1.2301934e-17
10185,1,0.99999964
10186,1,1.0
10187,1,0.98316103
10188,0,0.08293536
10189,1,0.9999999
1019,1,1.0
10190,1,1.0
10191,0,3.0321712e-09
10192,1,0.99999976
10193,0,9.2581047e-07
10194,0,7.8402785e-08
10195,1,0.9999385
10196,1,0.99927217
10197,1,1.0
10198,0,1.7759445e-09
10199,0,9.267151e-20
102,1,1.0
1020,0,3.5503562e-15
10200,0,8.442427e-12
10201,0,8.671895e-08
10202,1,0.9999995
10203,1,1.0
10204,0,2.7019558e-09
10205,0,5.39576e-08
10206,0,3.8247404e-06
10207,1,1.0
10208,1,0.99999785
10209,1,0.99999905
1021,0,0.05237205
10210,0,1.0043296e-26
10211,0,4.2238416e-10
10212,0,1.7242887e-12
10213,1,0.91378397
10214,1,0.99999785
10215,0,3.896711e-10
10216,0,0.118591815
10217,1,0.9999821
10218,0,1.2451868e-12
10219,0,0.01635344
1022,0,1.23747185e-14
10220,1,1.0
10221,1,0.9990038
10222,1,0.9844758
10223,0,4.224168e-08
10224,0,1.944698e-06
10225,0,5.349127e-06
10226,0,0.00059205084
10227,0,5.320522e-12
10228,0,1.0200629e-09
10229,0,0.00038839885
1023,0,0.0011690336
10230,1,0.9882373
10231,1,1.0
10232,1,1.0
10233,1,1.0
10234,0,1.1182991e-07
10235,0,2.989346e-15
10236,0,7.326991e-09
10237,0,1.7986271e-17
10238,1,0.999948
10239,0,1.6308037e-07
1024,0,0.0015878251
10240,0,3.85587e-10
10241,1,1.0
10242,1,1.0
10243,1,0.9971227
10244,1,1.0
10245,1,0.99999726
10246,1,0.8874903
10247,1,1.0
10248,0,0.25518766
10249,1,1.0
1025,0,1.5269478e-08
10250,0,1.8957405e-09
10251,1,0.9569087
10252,0,0.006652888
10253,1,1.0
10254,1,0.9999999
10255,1,0.9999932
10256,1,0.99999976
10257,0,1.0712537e-13
10258,1,1.0
10259,1,0.9999473
1026,0,0.032048658
10260,0,0.07555284
10261,1,0.9995048
10262,1,1.0
10263,1,0.9999999
10264,0,2.3823106e-06
10265,0,4.911387e-08
10266,0,1.1254642e-13
10267,0,4.1931557e-13
10268,1,1.0
10269,1,1.0
1027,0,2.0890045e-28
10270,0,1.2191433e-12
10271,1,1.0
10272,0,7.68174e-13
